Book   ,Words ,Mins
"3Jo"  ,  294 ,   1
"2Jo"  ,  298 ,   1
"Phm"  ,  439 ,   2
"Jude" ,  608 ,   3
"Ob"   ,  669 ,   3
"Tit"  ,  915 ,   4
"2Th"  , 1032 ,   4
"Hag"  , 1130 ,   4
"Na"   , 1284 ,   5
"Jon"  , 1320 ,   5
"Hab"  , 1475 ,   5
"2Pe"  , 1553 ,   6
"Zep"  , 1616 ,   6
"2Ti"  , 1694 ,   6
"Mal"  , 1786 ,   6
"1Th"  , 1847 ,   7
"Col"  , 1989 ,   7
"Joe"  , 2033 ,   7
"Php"  , 2193 ,   8
"1Ti"  , 2260 ,   8
"Jas"  , 2304 ,   8
"1Pe"  , 2476 ,   9
"1Jo"  , 2517 ,   9
"Ru"   , 2574 ,   9
"Song" , 2658 ,   9
"Eph"  , 3030 ,  11
"Ga"   , 3090 ,  11
"Mic"  , 3152 ,  11
"La"   , 3411 ,  12
"Am"   , 4216 ,  15
"Ho"   , 5174 ,  18
"Ec"   , 5579 ,  19
"Es"   , 5633 ,  19
"2Co"  , 6083 ,  21
"Zec"  , 6443 ,  22
"Heb"  , 6905 ,  24
"Ezr"  , 7440 ,  25
"Ro"   , 9438 ,  32
"1Co"  , 9480 ,  32
"Ne"   ,10480 ,  35
"Da"   ,11602 ,  39
"Re"   ,11995 ,  40
"Pr"   ,15038 ,  51
"Mr"   ,15166 ,  51
"Job"  ,18098 ,  61
"Jos"  ,18854 ,  63
"Jg"   ,18966 ,  64
"Joh"  ,19094 ,  64
"1Ch"  ,20365 ,  68
"2Sa"  ,20600 ,  69
"2Ki"  ,23517 ,  79
"Mt"   ,23684 ,  79
"Ac"   ,24245 ,  81
"1Ki"  ,24513 ,  82
"Le"   ,24541 ,  82
"1Sa"  ,25048 ,  84
"Lu"   ,25939 ,  87
"2Ch"  ,26069 ,  87
"De"   ,28352 ,  95
"Ex"   ,32686 , 109
"Nu"   ,32896 , 110
"Isa"  ,37036 , 124
"Ge"   ,38262 , 128
"Eze"  ,39401 , 132
"Jer"  ,42654 , 143
"Ps"   ,43738 , 146
