Calculating reading plan...
book, book chapters, book words, book time, chapter, chapter words, chapter time
Ge, 50, 38262, 128, 1, 797, 3
Ge, 50, 38262, 128, 2, 632, 3
Ge, 50, 38262, 128, 3, 695, 3
Ge, 50, 38262, 128, 4, 632, 3
Ge, 50, 38262, 128, 5, 504, 2
Ge, 50, 38262, 128, 6, 579, 2
Ge, 50, 38262, 128, 7, 584, 2
Ge, 50, 38262, 128, 8, 586, 2
Ge, 50, 38262, 128, 9, 658, 3
Ge, 50, 38262, 128, 10, 495, 2
Ge, 50, 38262, 128, 11, 606, 3
Ge, 50, 38262, 128, 12, 536, 2
Ge, 50, 38262, 128, 13, 457, 2
Ge, 50, 38262, 128, 14, 606, 3
Ge, 50, 38262, 128, 15, 471, 2
Ge, 50, 38262, 128, 16, 412, 2
Ge, 50, 38262, 128, 17, 679, 3
Ge, 50, 38262, 128, 18, 867, 3
Ge, 50, 38262, 128, 19, 1108, 4
Ge, 50, 38262, 128, 20, 498, 2
Ge, 50, 38262, 128, 21, 774, 3
Ge, 50, 38262, 128, 22, 629, 3
Ge, 50, 38262, 128, 23, 539, 2
Ge, 50, 38262, 128, 24, 1816, 7
Ge, 50, 38262, 128, 25, 706, 3
Ge, 50, 38262, 128, 26, 889, 3
Ge, 50, 38262, 128, 27, 1262, 5
Ge, 50, 38262, 128, 28, 621, 3
Ge, 50, 38262, 128, 29, 830, 3
Ge, 50, 38262, 128, 30, 1022, 4
Ge, 50, 38262, 128, 31, 1417, 5
Ge, 50, 38262, 128, 32, 794, 3
Ge, 50, 38262, 128, 33, 508, 2
Ge, 50, 38262, 128, 34, 790, 3
Ge, 50, 38262, 128, 35, 664, 3
Ge, 50, 38262, 128, 36, 845, 3
Ge, 50, 38262, 128, 37, 942, 4
Ge, 50, 38262, 128, 38, 819, 3
Ge, 50, 38262, 128, 39, 666, 3
Ge, 50, 38262, 128, 40, 580, 2
Ge, 50, 38262, 128, 41, 1404, 5
Ge, 50, 38262, 128, 42, 977, 4
Ge, 50, 38262, 128, 43, 938, 4
Ge, 50, 38262, 128, 44, 874, 3
Ge, 50, 38262, 128, 45, 731, 3
Ge, 50, 38262, 128, 46, 766, 3
Ge, 50, 38262, 128, 47, 965, 4
Ge, 50, 38262, 128, 48, 639, 3
Ge, 50, 38262, 128, 49, 766, 3
Ge, 50, 38262, 128, 50, 687, 3
Ex, 40, 32686, 109, 1, 457, 2
Ex, 40, 32686, 109, 2, 657, 3
Ex, 40, 32686, 109, 3, 791, 3
Ex, 40, 32686, 109, 4, 891, 3
Ex, 40, 32686, 109, 5, 594, 2
Ex, 40, 32686, 109, 6, 753, 3
Ex, 40, 32686, 109, 7, 692, 3
Ex, 40, 32686, 109, 8, 936, 4
Ex, 40, 32686, 109, 9, 982, 4
Ex, 40, 32686, 109, 10, 899, 3
Ex, 40, 32686, 109, 11, 324, 2
Ex, 40, 32686, 109, 12, 1493, 5
Ex, 40, 32686, 109, 13, 675, 3
Ex, 40, 32686, 109, 14, 931, 4
