Calculating reading plan...
book, book chapters, book words, book time, chapter, chapter words, chapter time, day
3Jo, 1, 294, 1, 1, 294, 1, 1
2Jo, 1, 298, 1, 1, 298, 1, 1
Phm, 1, 439, 2, 1, 439, 2, 1
Jude, 1, 608, 3, 1, 608, 3, 1
Ob, 1, 669, 3, 1, 669, 3, 1
Tit, 3, 915, 4, 1, 337, 2, 1
Tit, 3, 915, 4, 2, 265, 1, 1
Tit, 3, 915, 4, 3, 313, 2, 1
2Th, 3, 1032, 4, 1, 291, 1, 2
2Th, 3, 1032, 4, 2, 381, 2, 2
2Th, 3, 1032, 4, 3, 360, 2, 2
Hag, 2, 1130, 4, 1, 451, 2, 2
Hag, 2, 1130, 4, 2, 679, 3, 2
Na, 3, 1284, 5, 1, 394, 2, 2
Na, 3, 1284, 5, 2, 371, 2, 2
Na, 3, 1284, 5, 3, 519, 2, 2
Jon, 4, 1320, 5, 1, 514, 2, 3
Jon, 4, 1320, 5, 2, 214, 1, 3
Jon, 4, 1320, 5, 3, 260, 1, 3
Jon, 4, 1320, 5, 4, 332, 2, 3
Hab, 3, 1475, 5, 1, 423, 2, 3
Hab, 3, 1475, 5, 2, 563, 2, 3
Hab, 3, 1475, 5, 3, 489, 2, 3
2Pe, 3, 1553, 6, 1, 488, 2, 3
2Pe, 3, 1553, 6, 2, 581, 2, 3
2Pe, 3, 1553, 6, 3, 484, 2, 4
Zep, 3, 1616, 6, 1, 555, 2, 4
Zep, 3, 1616, 6, 2, 463, 2, 4
Zep, 3, 1616, 6, 3, 598, 2, 4
2Ti, 4, 1694, 6, 1, 438, 2, 4
2Ti, 4, 1694, 6, 2, 506, 2, 4
2Ti, 4, 1694, 6, 3, 297, 1, 4
2Ti, 4, 1694, 6, 4, 453, 2, 4
Mal, 4, 1786, 6, 1, 487, 2, 5
Mal, 4, 1786, 6, 2, 546, 2, 5
Mal, 4, 1786, 6, 3, 565, 2, 5
Mal, 4, 1786, 6, 4, 188, 1, 5
1Th, 5, 1847, 7, 1, 253, 1, 5
1Th, 5, 1847, 7, 2, 479, 2, 5
1Th, 5, 1847, 7, 3, 295, 1, 5
1Th, 5, 1847, 7, 4, 396, 2, 5
1Th, 5, 1847, 7, 5, 424, 2, 5
Col, 4, 1989, 7, 1, 656, 3, 6
Col, 4, 1989, 7, 2, 503, 2, 6
Col, 4, 1989, 7, 3, 457, 2, 6
Col, 4, 1989, 7, 4, 373, 2, 6
Joe, 3, 2033, 7, 1, 508, 2, 6
Joe, 3, 2033, 7, 2, 958, 4, 6
Joe, 3, 2033, 7, 3, 567, 2, 7
Php, 4, 2193, 8, 1, 632, 3, 7
Php, 4, 2193, 8, 2, 601, 3, 7
Php, 4, 2193, 8, 3, 483, 2, 7
Php, 4, 2193, 8, 4, 477, 2, 7
1Ti, 6, 2260, 8, 1, 432, 2, 7
1Ti, 6, 2260, 8, 2, 247, 1, 7
1Ti, 6, 2260, 8, 3, 324, 2, 8
1Ti, 6, 2260, 8, 4, 310, 2, 8
1Ti, 6, 2260, 8, 5, 470, 2, 8
1Ti, 6, 2260, 8, 6, 477, 2, 8
Jas, 5, 2304, 8, 1, 544, 2, 8
Jas, 5, 2304, 8, 2, 528, 2, 8
Jas, 5, 2304, 8, 3, 378, 2, 8
Jas, 5, 2304, 8, 4, 369, 2, 8
Jas, 5, 2304, 8, 5, 485, 2, 9
1Pe, 5, 2476, 9, 1, 597, 2, 9
1Pe, 5, 2476, 9, 2, 549, 2, 9
1Pe, 5, 2476, 9, 3, 551, 2, 9
1Pe, 5, 2476, 9, 4, 479, 2, 9
1Pe, 5, 2476, 9, 5, 300, 1, 9
1Jo, 5, 2517, 9, 1, 247, 1, 9
1Jo, 5, 2517, 9, 2, 736, 3, 9
1Jo, 5, 2517, 9, 3, 534, 2, 10
1Jo, 5, 2517, 9, 4, 480, 2, 10
1Jo, 5, 2517, 9, 5, 520, 2, 10
Ru, 4, 2574, 9, 1, 649, 3, 10
Ru, 4, 2574, 9, 2, 763, 3, 10
Ru, 4, 2574, 9, 3, 541, 2, 10
Ru, 4, 2574, 9, 4, 621, 3, 10
Song, 8, 2658, 9, 1, 326, 2, 11
Song, 8, 2658, 9, 2, 351, 2, 11
Song, 8, 2658, 9, 3, 287, 1, 11
Song, 8, 2658, 9, 4, 363, 2, 11
Song, 8, 2658, 9, 5, 397, 2, 11
Song, 8, 2658, 9, 6, 282, 1, 11
Song, 8, 2658, 9, 7, 292, 1, 11
Song, 8, 2658, 9, 8, 360, 2, 11
Eph, 6, 3030, 11, 1, 508, 2, 11
Eph, 6, 3030, 11, 2, 453, 2, 12
Eph, 6, 3030, 11, 3, 410, 2, 12
Eph, 6, 3030, 11, 4, 617, 3, 12
Eph, 6, 3030, 11, 5, 564, 2, 12
Eph, 6, 3030, 11, 6, 478, 2, 12
Ga, 6, 3090, 11, 1, 453, 2, 12
Ga, 6, 3090, 11, 2, 573, 2, 12
Ga, 6, 3090, 11, 3, 648, 3, 13
Ga, 6, 3090, 11, 4, 610, 3, 13
Ga, 6, 3090, 11, 5, 447, 2, 13
Ga, 6, 3090, 11, 6, 359, 2, 13
Mic, 7, 3152, 11, 1, 452, 2, 13
Mic, 7, 3152, 11, 2, 400, 2, 13
Mic, 7, 3152, 11, 3, 354, 2, 13
Mic, 7, 3152, 11, 4, 476, 2, 14
Mic, 7, 3152, 11, 5, 447, 2, 14
Mic, 7, 3152, 11, 6, 440, 2, 14
Mic, 7, 3152, 11, 7, 583, 2, 14
La, 5, 3411, 12, 1, 758, 3, 14
La, 5, 3411, 12, 2, 883, 3, 14
La, 5, 3411, 12, 3, 876, 3, 14
La, 5, 3411, 12, 4, 598, 2, 15
La, 5, 3411, 12, 5, 296, 1, 15
Am, 9, 4216, 15, 1, 455, 2, 15
Am, 9, 4216, 15, 2, 441, 2, 15
Am, 9, 4216, 15, 3, 397, 2, 15
Am, 9, 4216, 15, 4, 432, 2, 15
Am, 9, 4216, 15, 5, 658, 3, 15
Am, 9, 4216, 15, 6, 399, 2, 15
Am, 9, 4216, 15, 7, 471, 2, 16
Am, 9, 4216, 15, 8, 414, 2, 16
Am, 9, 4216, 15, 9, 549, 2, 16
Ho, 14, 5174, 18, 1, 355, 2, 16
Ho, 14, 5174, 18, 2, 678, 3, 16
Ho, 14, 5174, 18, 3, 156, 1, 16
Ho, 14, 5174, 18, 4, 465, 2, 16
Ho, 14, 5174, 18, 5, 368, 2, 16
Ho, 14, 5174, 18, 6, 254, 1, 17
Ho, 14, 5174, 18, 7, 398, 2, 17
Ho, 14, 5174, 18, 8, 330, 2, 17
Ho, 14, 5174, 18, 9, 468, 2, 17
Ho, 14, 5174, 18, 10, 425, 2, 17
Ho, 14, 5174, 18, 11, 308, 2, 17
Ho, 14, 5174, 18, 12, 311, 2, 17
Ho, 14, 5174, 18, 13, 426, 2, 17
Ho, 14, 5174, 18, 14, 232, 1, 18
Ec, 12, 5579, 19, 1, 380, 2, 18
Ec, 12, 5579, 19, 2, 734, 3, 18
Ec, 12, 5579, 19, 3, 517, 2, 18
Ec, 12, 5579, 19, 4, 380, 2, 18
Ec, 12, 5579, 19, 5, 533, 2, 18
Ec, 12, 5579, 19, 6, 301, 2, 18
Ec, 12, 5579, 19, 7, 617, 3, 18
Ec, 12, 5579, 19, 8, 515, 2, 19
